Title,Year,Rating,Votes,Synopsis,Runtime
Seetimaarr,2021,5.0,1400.0,All a full-time bank employee and part-time kabaddi coach wants is to bring national relevance to the school his father built and help young kabaddi players in his village win the national championship. It might prove difficult than just coaching them though.,2h 19m
Iké Boys,2021,5.3,3400.0,"When a magical anime transforms two Japan-obsessed teenage friends and a shy foreign exchange student into its superpowered characters, the three underdogs must discover their inner heroes in time to save the world.",1h 28m
One Small Story,2021,7.2,3200.0,"Santhosh, a youth who is struggling with 'Micro Penis Syndrome' marries Amrutha in an unavoidable situation but continues to postpone their first night nuptials. He comes across a Godwoman who has a herbal medicine to address his problem.",2h 14m
Mumbai Saga,2021,5.8,10000.0,The plot of the movie is set in the era of the 80s and 90s which were marked as a transformed period of Mumbai.,2h 15m
Amira,2021,4.1,8100.0,A Palestinian girl's world is turned upside down when she learns the man she grew up idolizing is not her real father.,1h 38m
In Front of Your Face,2021,7.0,1500.0,"She manages her daily life with a sense of mindfulness while keeping a grave secret to herself, and she decides to meet with a younger director who asked her to join his project, and after they meet there is sudden rainfall and thunder.",1h 25m
400 Bullets,2021,3.8,4000.0,"400 BULLETS is an edge-of-your-seat Military Action story about what it means to fight for honor instead of profit. The film packs gun battles, epic hand-to-hand fight sequences and witty dialogue into its 90 minute run time.",1h 29m
Terror Trips,2021,3.5,563.0,"Six friends start a business, providing guided tours to the shooting locations of the world's most famous horror films, until they find the one spot where the horror is real.",1h 27m
We Couldn't Become Adults,2021,6.5,1100.0,"Prodded by a friend request, a forty-something recalls his past relationships from the 90s onward, looking for his vanished hopes and dreams.",2h 4m
The Alpines,2021,4.4,5000.0,Long-held secrets follow seven old college friends to a weekend reunion at a secluded lake house where they soon find a potential killer among them.,1h 33m
Class Reunion 3,2021,3.6,920.0,Three former school friends who are brought back together by a later-in-life event.,1h 44m
Britney vs Spears,2021,6.4,8300.0,Journalist Jenny Eliscu and filmmaker Erin Lee Carr investigate Britney Spears' fight for freedom by way of exclusive interviews and confidential evidence.,1h 33m
Aranya,2021,7.5,3500.0,Kaadan is a true-blue animal film signifying a deep and strong bond between humans and animals.,2h 33m
The King of Laughter,2021,7.1,1600.0,The biography of Neapolitan comic theater legend Eduardo Scarpetta.,2h 13m
The Jesus Music,2021,7.3,645.0,"This documentary reveals Jesus Music's untold story - from its humble beginnings at the Calvary Chapel in Costa Mesa, California through its transformation into the multi-billion-dollar industry of Christian Contemporary Music today.",1h 49m
A Stand Worthy of Men,2021,7.1,3400.0,"A comedy about a group of friends as they get reunited to help one of their own find his way out of major trouble. As the situation gets more complicated, they are forced to take a trip to a coastal town.",1h 53m
My Lovely Angel,2021,7.5,813.0,"A life-changing story of a man who has lived as a loner his entire life. Jae Shik begins to live together with a child with a hearing-visual disability, as they change each other's lives and try to find a way to communicate.",1h 40m
Satyameva Jayate 2,2021,3.4,16000.0,"Satyameva Jayate 2 revolves around the fight against injustice and misuse of power. From police and politicians to industrialists and a common man, the film will explore corruption in all spheres.",2h 18m
Mission: Sky,2021,5.8,705.0,"Lieutenant Colonel Soshnikov and Captain Muravyov are two different characters, two different fates, who are destined to meet at the Khmeimim military base.",2h 6m
Dial 100,2021,5.9,3900.0,"One night, while working at the Mumbai Police Emergency Call Centre, police officer Nikhil Sood gets a call from a hysterical woman who wants to commit suicide. Even as he tries to save her, Nikhil has no idea that it will lead to him endangering his own family as dark truths that he has been hiding threaten to destroy all that he loves and stands for.",1h 44m
The Nest,2021,3.3,1100.0,A mother's reality erodes around her as she struggles to fathom the entangled web of her daughter's separation anxiety brought on by parasitic creatures within a stuffed bear.,1h 40m
Cinderella,2021,4.7,1800.0,"Cinderella is a murder mystery that revolves around John, Ramya and Sandra.",2h 2m
¡A todo tren! Destino Asturias,2021,5.3,1400.0,"Ricardo is the chosen parent to take all the kids to a camp by train. On a stop, Ricardo and grandpa Felipe take an outdoors smoke-break, and the train leaves, with the children but without the grown-ups, setting off a hilarious chase.",1h 30m
Knocking,2021,5.7,1800.0,"A woman leaves a psychiatric ward after a nervous breakdown, only to start hearing mysterious knocking sounds in her apartment.",1h 18m
Romantic,2021,4.4,589.0,A wild journey of sensuality and Love beyond anything.,2h 15m
Hotel Coppelia,2021,6.4,734.0,The lives of prostitutes at a brothel in the Dominican Republic take a dramatic turn when the U.S troops invade during the 1965 war.,1h 53m
